"","ID","StartDate","Progress","Duration (in seconds)","Consent","AQ01","AQ02","AQ03","AQ04","AQ05","AQ06","AQ07","AQ08","AQ09","AQ10","AQ11","AQ12","AQ13","AQ14","AQ15","AQ16","AQ17","AQ18","AQ19","AQ20","AQ21","AQ22","AQ23","AQ24","AQ25","AQ26","AQ27","AQ28","RPrac","RPrac_H","RPrac_T_First Click","RPrac_T_Last Click","RPrac_T_Page Submit","RPrac_T_Click Count","R01","R01_H","R01_T_First Click","R01_T_Last Click","R01_T_Page Submit","R01_T_Click Count","R02","R02_H","R02_T_First Click","R02_T_Last Click","R02_T_Page Submit","R02_T_Click Count","R03","R03_H","R03_T_First Click","R03_T_Last Click","R03_T_Page Submit","R03_T_Click Count","R04","R04_H","R04_T_First Click","R04_T_Last Click","R04_T_Page Submit","R04_T_Click Count","R05","R05_H","R05_T_First Click","R05_T_Last Click","R05_T_Page Submit","R05_T_Click Count","R06","R06_H","R06_T_First Click","R06_T_Last Click","R06_T_Page Submit","R06_T_Click Count","R07","R07_H","R07_T_First Click","R07_T_Last Click","R07_T_Page Submit","R07_T_Click Count","R08","R08_H","R08_T_First Click","R08_T_Last Click","R08_T_Page Submit","R08_T_Click Count","R09","R09_H","R09_T_First Click","R09_T_Last Click","R09_T_Page Submit","R09_T_Click Count","R10","R10_H","R10_T_First Click","R10_T_Last Click","R10_T_Page Submit","R10_T_Click Count","R11","R11_H","R11_T_First Click","R11_T_Last Click","R11_T_Page Submit","R11_T_Click Count","R12","R12_T_First Click","R12_T_Last Click","R12_T_Page Submit","R12_T_Click Count","R12_H","R13","R13_T_First Click","R13_T_Last Click","R13_T_Page Submit","R13_T_Click Count","R13_H","R14","R14_H","R14_T_First Click","R14_T_Last Click","R14_T_Page Submit","R14_T_Click Count","R15","R15_T_First Click","R15_T_Last Click","R15_T_Page Submit","R15_T_Click Count","R15_H","R16","R16_H","R16_T_First Click","R16_T_Last Click","R16_T_Page Submit","R16_T_Click Count","R17","R17_H","R17_T_First Click","R17_T_Last Click","R17_T_Page Submit","R17_T_Click Count","R18","R18_H","R18_T_First Click","R18_T_Last Click","R18_T_Page Submit","R18_T_Click Count","R19","R19_H","R19_T_First Click","R19_T_Last Click","R19_T_Page Submit","R19_T_Click Count","R20","R20_H","R20_T_First Click","R20_T_Last Click","R20_T_Page Submit","R20_T_Click Count","R21","R21_H","R21_T_First Click","R21_T_Last Click","R21_T_Page Submit","R21_T_Click Count","R22","R22_H","R22_T_First Click","R22_T_Last Click","R22_T_Page Submit","R22_T_Click Count","R23","R23_H","R23_T_First Click","R23_T_Last Click","R23_T_Page Submit","R23_T_Click Count","R24","R24_H","R24_T_First Click","R24_T_Last Click","R24_T_Page Submit","R24_T_Click Count","R25","R25_H","R25_T_First Click","R25_T_Last Click","R25_T_Page Submit","R25_T_Click Count","R26","R26_H","R26_T_First Click","R26_T_Last Click","R26_T_Page Submit","R26_T_Click Count","R27","R27_H","R27_T_First Click","R27_T_Last Click","R27_T_Page Submit","R27_T_Click Count","R28","R28_H","R28_T_First Click","R28_T_Last Click","R28_T_Page Submit","R28_T_Click Count","R29","R29_T_First Click","R29_T_Last Click","R29_T_Page Submit","R29_T_Click Count","R29_H","R30","R30_H","R30_T_First Click","R30_T_Last Click","R30_T_Page Submit","R30_T_Click Count","R31","R31_H","R31_T_First Click","R31_T_Last Click","R31_T_Page Submit","R31_T_Click Count","R32","R32_T_First Click","R32_T_Last Click","R32_T_Page Submit","R32_T_Click Count","R32_H","R33","R33_H","R33_T_First Click","R33_T_Last Click","R33_T_Page Submit","R33_T_Click Count","R34","R34_H","R34_T_First Click","R34_T_Last Click","R34_T_Page Submit","R34_T_Click Count","R35","R35_H","R35_T_First Click","R35_T_Last Click","R35_T_Page Submit","R35_T_Click Count","R36","R36_H","R36_T_First Click","R36_T_Last Click","R36_T_Page Submit","R36_T_Click Count","R_Comfort_1","TAS01","TAS02","TAS03","TAS04","TAS05","TAS06","TAS07","TAS08","TAS09","TAS10","TAS11","TAS12","TAS13","TAS14","TAS15","TAS16","TAS17","TAS18","TAS19","TAS20","Attention_1","TOM_story_timer_First Click","TOM_story_timer_Last Click","TOM_story_timer_Page Submit","TOM_story_timer_Click Count","TOM_revise","TOM_story2_timer_First Click","TOM_story2_timer_Last Click","TOM_story2_timer_Page Submit","TOM_story2_timer_Click Count","TOM01","TOM02","TOM03","TOM04","TOM05","TOM06","TOM07","TOM08","TOM09","TOM10","TOM11","TOM12","TOM13","TOM14","TOM15","TOM16","TOM_question_timer_First Click","TOM_question_timer_Last Click","TOM_question_timer_Page Submit","TOM_question_timer_Click Count","Dem_ethnicity","Dem_ethnicity_9_TEXT","Dem_age","Dem_gender","Dem_gender_4_TEXT","Dem_education","Dem_god_4","Debrief_random","Debrief_device","Debrief_device_5_TEXT","age","gender","ethnicity"
"118",118,2020-08-25 05:40:49,100,2308,1,2,3,2,3,3,2,3,3,3,2,2,1,3,3,4,2,3,2,3,2,2,2,2,2,3,3,1,2,3,NA,43.437,43.437,65.712,1,1,1,11.841,23.556,24.154,5,1,NA,9.511,9.511,10.48,1,1,1,13.151,24.55,26.578,4,1,1,6.928,40.758,42.944,5,1,NA,9.257,9.257,10.475,1,3,1,5.723,34.712,37.445,6,3,1,15.032,70.905,73.507,5,1,1,8.507,48.571,49.001,7,1,NA,6.628,6.628,7.674,1,1,1,7.908,45.347,45.82,7,1,NA,10.197,10.197,11.723,1,1,9.041,114.593,116.417,15,1,4,10.773,59.72,60.773,6,1,1,1,17.528,55.926,57.69,9,1,8.452,21.425,23.572,4,1,1,1,10.415,30.59,31.565,6,1,1,6.24,33.232,35.868,4,1,1,6.64,40.038,40.877,8,1,1,21,67.754,68.217,10,3,1,5.661,33.598,34.56,6,2,1,12.63,37.012,37.492,5,1,1,8.959,71.488,74.009,6,3,NA,6.984,6.984,8.484,1,1,1,10.135,19.802,22.182,5,3,1,7.132,63.869,64.88,9,1,NA,22.101,22.101,23.214,1,1,1,7.264,55.82,56.87,8,2,1,17.918,23.709,27.538,3,1,1.356,52.904,54.368,8,1,1,NA,6.95,6.95,7.981,1,4,1,8.38,23.095,24.589,5,1,19.059,19.059,20.974,1,NA,2,NA,16.912,16.912,18.697,1,1,NA,23.174,23.174,24.271,1,4,NA,24.926,24.926,27.273,1,4,1,7.873,23.788,25.028,5,6,1,2,1,4,3,2,2,2,1,5,2,1,4,2,2,4,2,4,4,2,0,1.219,1.219,2.562,1,NA,9.892,9.892,16.218,1,2,1,2,1,2,2,1,1,2,1,2,2,1,1,1,2,31.261,66.15,67.082,22,2,NA,79,1,NA,2,100,1,4,NA,79,2,1
"119",119,2020-08-25 05:42:57,100,2197,1,3,3,1,1,2,1,2,1,2,2,1,2,2,4,3,1,1,2,1,2,1,1,4,2,3,4,2,1,3,NA,13.77,15.14,16.82,2,1,NA,3.619,4.722,5.586,2,1,NA,8.119,9.151,9.959,2,1,NA,10.493,11.449,12.396,2,1,NA,7.395,8.198,9.074,2,1,NA,3.348,4.296,5.162,2,1,NA,6.704,7.587,8.421,2,1,NA,7.234,8.255,9.06,2,2,NA,11.41,12.83,13.693,2,1,NA,4.78,5.796,6.74,2,4,NA,7.324,11.278,11.915,2,1,NA,6.591,7.49,8.374,2,1,4.339,5.037,5.888,2,NA,2,8.43,9.997,12.495,2,NA,1,NA,8.667,10.67,11.523,2,1,2.894,3.913,4.947,2,NA,1,NA,3.392,4.245,5.108,2,1,NA,18.63,19.549,20.443,2,1,NA,7.1,7.986,11.389,2,4,NA,7.098,8.284,9.51,2,1,NA,10.389,11.576,12.658,2,1,NA,5.989,7.26,8.219,2,1,NA,12.529,13.934,15.143,2,1,NA,6.036,6.835,7.658,2,1,NA,2.671,3.508,4.4,2,1,NA,7.419,8.369,9.297,2,1,NA,7.928,8.759,9.603,2,1,NA,7.164,8.032,8.875,2,1,NA,4.596,5.677,7.014,2,1,3.237,4.089,5.049,2,NA,1,NA,2.987,3.904,4.83,2,1,NA,3.979,4.931,5.812,2,1,5.129,6.114,6.991,2,NA,4,NA,10.292,11.31,12.162,2,1,NA,4.389,5.505,6.39,2,1,NA,5.326,6.192,6.993,2,1,NA,5.272,6.326,6.991,2,10,2,2,2,4,3,1,2,2,4,4,2,2,2,1,4,1,4,5,4,1,0,5.178,431.459,489.964,2,8,388.49,397.561,540.958,6,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,192.967,484.192,485.133,31,2,NA,50,2,NA,6,100,2,3,NA,50,1,1
"120",120,2020-08-25 06:06:20,100,859,1,2,2,1,2,1,1,2,3,3,1,2,3,3,3,3,2,2,2,2,2,2,2,3,3,3,2,3,2,3,NA,5.358,5.358,6.836,1,1,NA,3.872,3.872,4.933,1,4,NA,5.778,5.778,7.053,1,1,NA,7.317,8.249,8.201,2,1,NA,3.383,4.325,4.991,2,1,NA,2.422,2.422,3.368,1,1,NA,6.484,7.143,7.948,2,1,NA,4.666,4.666,5.655,1,1,NA,5.641,5.641,6.698,1,1,NA,2.771,2.771,3.466,1,1,NA,5.785,5.785,6.473,1,1,NA,7.561,7.561,8.2,1,1,3.267,3.267,4.252,1,NA,1,4.791,8.712,10.166,2,NA,2,NA,4.468,4.468,5.337,1,1,4.52,4.52,5.655,1,NA,1,NA,3.475,4.145,5.443,2,1,NA,5.702,5.702,6.886,1,1,NA,6.4,6.4,7.477,1,1,NA,7.242,7.242,8.189,1,1,NA,3.456,3.456,4.268,1,1,NA,5.301,5.301,6.248,1,1,NA,5.51,5.51,7.146,1,1,NA,4.382,4.382,5.454,1,3,NA,5.396,5.396,6.7,1,1,NA,4.701,4.701,6.233,1,1,NA,4.292,4.292,5.475,1,1,NA,6.469,7.159,9.83,2,1,NA,6.389,6.389,7.395,1,1,4.572,4.572,5.287,1,NA,1,NA,3.493,3.493,4.42,1,1,NA,5.046,5.046,6.34,1,1,4.401,4.401,5.496,1,NA,1,NA,5.772,5.772,6.749,1,1,NA,6.853,6.853,7.733,1,1,NA,6.169,6.169,6.902,1,1,NA,3.758,3.758,4.429,1,10,3,4,1,2,4,2,3,4,4,4,3,4,3,2,4,4,5,4,3,2,0,65.942,70.758,87.436,3,NA,0,0,9.82,0,1,2,1,2,1,1,2,1,1,1,2,1,2,1,2,2,19.588,117.85,118.842,31,2,NA,58,2,NA,4,100,2,3,NA,58,1,1
"121",121,2020-08-25 05:59:52,100,1270,1,3,3,1,2,3,1,1,3,1,3,4,1,2,3,4,2,3,1,1,3,2,1,2,1,2,2,1,1,3,1,5.834,20.906,21.682,4,3,NA,6.794,6.794,7.848,1,2,NA,5.251,6.465,8.134,2,1,NA,8.021,9.009,10.514,2,1,NA,4.907,4.907,6.154,1,1,NA,4.697,4.697,5.744,1,4,NA,15.733,15.733,16.732,1,1,NA,5.611,5.611,6.758,1,1,NA,6.498,6.498,7.501,1,1,NA,8.424,8.424,9.628,1,1,NA,6.455,6.455,7.645,1,1,NA,12.504,12.504,13.547,1,1,4.64,4.64,5.614,1,NA,1,6.166,6.166,7.215,1,NA,2,NA,4.401,4.401,5.501,1,1,7.646,7.646,8.927,1,NA,4,NA,6.432,6.432,7.371,1,2,NA,9.311,9.311,10.355,1,1,NA,5.46,5.46,6.716,1,1,NA,5.316,5.316,6.292,1,1,NA,4.443,4.443,5.385,1,1,NA,4.717,4.717,5.747,1,4,NA,7.081,7.861,9.029,2,4,NA,3.945,3.945,5.072,1,3,NA,3.723,3.723,4.817,1,1,NA,2.998,5.948,7.391,4,4,NA,5.325,5.325,6.377,1,1,NA,6.593,6.593,7.729,1,1,NA,8.947,8.947,10.129,1,1,9.811,9.811,10.925,1,NA,1,NA,3.454,3.454,4.652,1,2,NA,6.549,6.549,7.635,1,1,10.657,10.657,11.658,1,NA,1,NA,4.13,4.13,5.462,1,1,NA,6.307,6.307,7.866,1,1,NA,4.589,4.589,5.759,1,1,1,6.601,11.342,13.874,3,8,2,4,1,2,3,4,3,5,2,5,3,1,1,1,2,5,3,5,5,5,0,0,0,97.101,0,8,5.639,52.998,76.657,2,2,2,1,2,2,1,1,2,2,1,2,1,1,1,2,2,13.587,228.146,231.299,38,2,NA,75,1,NA,3,100,2,3,NA,75,2,1
"122",122,2020-08-25 06:05:13,100,1052,1,2,3,2,2,2,2,3,2,1,3,3,2,3,3,3,3,2,2,2,2,2,2,2,1,3,3,2,1,3,NA,4.913,16.238,16.285,3,1,NA,1.803,2.821,3.885,2,1,NA,2.967,6.339,7.221,2,4,NA,1.817,20.526,21.441,3,1,NA,1.456,6.091,7.056,3,1,NA,1.564,2.879,4.359,2,1,NA,2.728,7.403,8.286,2,3,NA,1.526,4.649,5.526,2,1,NA,1.768,12.455,13.24,2,1,NA,1.249,2.948,4.274,2,1,NA,11.271,11.956,12.876,2,4,NA,13.28,13.961,15.091,2,1,5.433,6.212,7.162,2,NA,1,4.915,6.765,7.792,3,NA,4,NA,15.386,16.493,17.321,2,2,1.32,5.307,6.07,2,NA,3,NA,1.513,5.019,6.035,3,1,NA,16.68,17.394,18.307,2,1,NA,4.314,4.943,5.858,2,4,NA,4.366,5.095,6.009,2,1,NA,3.549,4.482,5.606,2,1,NA,4.441,5.285,6.211,2,1,NA,3.238,5.09,6.135,2,4,NA,2.538,4.058,5.307,2,1,NA,7.183,8.045,9.063,2,1,NA,1.544,4.068,4.971,2,1,NA,1.397,5.386,6.378,2,4,NA,3.057,4.312,5.282,2,1,NA,2.92,8.51,9.422,2,1,10.713,12.349,13.606,2,NA,1,NA,3.279,4.881,5.676,2,3,NA,1.528,10.42,11.733,3,1,6.482,7.351,8.602,2,NA,1,NA,5.243,5.888,6.783,2,1,NA,12.519,18.838,20.102,4,3,NA,1.355,10.565,11.392,2,1,NA,1.221,6.654,7.657,5,8,2,2,2,4,4,2,2,2,2,4,2,2,2,1,4,2,2,5,4,2,0,2.208,77.324,84.433,7,NA,14.077,14.077,15.775,1,2,2,1,2,2,1,1,2,1,2,2,1,2,1,1,2,2.669,174.856,174.933,35,5,NA,64,1,NA,5,50,2,4,NA,64,2,7
"123",123,2020-08-25 06:10:13,100,766,1,2,3,2,1,2,2,2,2,2,3,2,3,2,4,4,2,2,2,2,2,2,2,3,2,3,3,1,2,4,NA,11.036,25.004,26.35,3,1,NA,2.144,2.144,3.015,1,1,NA,2.574,2.574,3.251,1,1,NA,4.663,4.663,6.228,1,1,NA,1.754,1.754,2.569,1,1,NA,4.982,4.982,6.103,1,1,NA,3.921,3.921,4.93,1,3,NA,2.491,2.491,3.403,1,1,NA,4.191,4.191,5.331,1,1,NA,3.212,3.212,4.824,1,1,NA,6.717,8.759,9.696,2,3,NA,7.74,7.74,8.435,1,2,2.539,2.539,3.341,1,NA,1,1.653,1.653,3.772,1,NA,2,NA,3.028,6.299,7.122,4,1,5.475,5.475,6.333,1,NA,3,NA,4.466,4.466,5.429,1,1,NA,5.383,5.383,6.256,1,1,NA,2.513,3.194,4.157,2,1,NA,3.589,3.589,4.41,1,1,NA,2.065,2.065,3.156,1,1,NA,5.093,5.093,6.132,1,4,NA,8.573,8.573,9.32,1,4,NA,4.637,4.637,5.43,1,2,NA,2.374,3.249,4.159,2,1,NA,2.314,2.314,3.708,1,1,NA,3.371,3.371,4.101,1,1,NA,6.459,7.359,8.248,2,2,NA,4.866,5.855,6.155,2,2,4.124,4.124,5.317,1,NA,1,NA,2.485,2.485,3.337,1,1,NA,3.524,3.524,4.83,1,1,6.571,6.571,7.318,1,NA,3,NA,4.673,4.673,6.446,1,3,NA,7.119,7.119,7.976,1,3,NA,3.182,4.344,4.663,2,1,NA,5.88,7.923,8.638,3,8,2,2,2,4,4,1,2,3,2,4,2,4,2,2,4,4,2,4,4,2,0,0,0,41.169,0,NA,0,0,3.613,0,1,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,19.889,84.065,84.402,22,2,NA,34,2,NA,5,39,2,1,NA,34,1,1
"124",124,2020-08-25 06:12:32,100,727,1,4,1,1,1,2,1,2,4,3,1,1,3,2,3,2,2,3,4,3,3,3,1,3,4,2,1,3,1,3,NA,4.872,4.872,5.9,1,1,NA,2.526,2.526,3.21,1,1,NA,3.363,3.363,4.141,1,1,NA,4.993,4.993,5.56,1,1,NA,3.961,3.961,4.957,1,1,NA,3.003,3.003,3.593,1,3,NA,8.622,8.622,9.15,1,3,NA,4.749,4.749,5.326,1,1,1,4.823,23.752,24.766,8,1,NA,3.454,3.454,4.176,1,1,NA,3.466,3.466,4.001,1,1,NA,4.629,4.629,5.19,1,2,5.454,5.454,6.175,1,NA,1,4.533,4.533,5.083,1,NA,4,NA,4.084,4.084,4.7,1,1,3.178,9.176,10.049,6,1,1,NA,4.006,4.006,4.757,1,1,NA,3.934,3.934,4.429,1,4,NA,3.424,3.424,4.107,1,4,NA,3.783,3.783,4.799,1,1,NA,2.813,2.813,3.301,1,1,NA,8.602,8.602,9.535,1,1,NA,6.04,6.04,6.628,1,2,NA,5.75,5.75,6.33,1,1,NA,4.225,4.225,4.761,1,4,NA,8.187,8.187,9.001,1,4,NA,13.565,13.565,14.181,1,1,NA,3.483,3.483,4.153,1,1,NA,7.429,7.429,8.099,1,1,3.525,3.525,4.118,1,NA,1,NA,3.011,3.011,3.4,1,1,NA,4.533,4.533,5.573,1,1,3.49,3.49,4.192,1,NA,1,NA,5.606,5.606,6.351,1,1,NA,3.885,3.885,4.449,1,1,NA,7.238,7.238,7.96,1,1,NA,5.178,5.178,5.693,1,5,3,5,1,2,4,4,3,4,3,4,4,5,5,5,5,2,4,2,3,5,0,3.53,34.164,46.392,12,NA,0,0,7.322,0,2,2,2,2,2,1,2,1,1,1,2,1,2,1,2,2,7.909,111.4,111.996,42,2,NA,30,1,NA,2,100,2,4,NA,30,2,1
"125",125,2020-08-25 06:03:39,100,1339,1,3,2,2,1,3,3,3,3,3,3,2,2,3,2,2,2,3,3,3,2,2,3,3,3,3,2,2,2,2,NA,13.963,15.311,18.752,2,3,NA,8.52,9.552,11.07,2,3,NA,15.98,17.18,18.662,2,1,NA,10.462,12.108,14.4,2,3,NA,10.227,11.851,14.179,2,3,NA,6.412,8.408,9.815,2,2,NA,11.09,12.694,14.465,2,2,NA,10.702,12.126,13.171,2,1,NA,5.389,8.449,9.883,2,1,NA,5.927,8.371,9.729,3,4,NA,11.671,14.691,16.019,3,1,NA,8.793,10.153,11.378,2,2,6.187,7.355,8.932,2,NA,4,8.551,11.062,12.333,2,NA,3,NA,15.519,17.883,19.203,2,1,6.899,9.511,12.327,2,NA,4,NA,13.63,14.921,16.578,2,3,NA,5.675,6.775,7.969,2,1,NA,7.577,14.925,16.089,3,1,NA,8.379,9.839,10.772,2,3,NA,11.686,13.285,14.824,2,1,NA,5.008,6.255,7.305,2,1,NA,6.592,7.62,8.603,2,1,NA,6.44,8.096,9.515,2,1,NA,4.729,5.744,6.916,2,1,NA,6.293,7.413,9.814,2,1,NA,8.158,9.683,10.766,2,4,NA,9.728,11.644,12.84,2,2,NA,4.742,6.398,8.024,2,1,7.41,8.697,9.956,2,NA,1,NA,10.802,12.645,14.056,2,1,NA,4.671,6.119,7.337,2,1,5.582,8.99,10.46,2,NA,1,NA,7.067,8.279,9.756,2,1,NA,8.596,10.515,11.739,2,4,NA,7.412,8.664,9.93,2,1,NA,5.407,6.559,7.682,2,8,2,3,1,4,4,2,1,4,1,4,2,2,1,2,4,5,1,4,4,4,0,0,0,125.384,0,NA,0,0,12.216,0,2,2,1,1,2,1,1,1,1,1,2,1,1,1,2,1,13.682,186.289,187.713,23,2,NA,66,2,NA,4,10,2,2,NA,66,1,1
"126",126,2020-08-25 05:56:47,100,1787,1,4,2,2,2,3,2,2,2,1,2,3,2,2,3,3,2,2,2,3,2,2,4,2,1,3,3,2,1,3,NA,11.391,11.391,12.701,1,1,NA,22.091,22.091,22.985,1,1,NA,3.192,3.192,4.203,1,1,NA,5.003,5.003,6.324,1,3,NA,6.307,6.307,7.15,1,1,NA,3.682,3.682,4.666,1,3,NA,3.129,3.129,4.395,1,3,NA,10.924,10.924,11.84,1,1,NA,36.657,143.952,145.091,2,2,NA,4.892,4.892,5.88,1,1,NA,22.602,22.602,23.619,1,2,NA,48.096,48.096,49.152,1,1,8.916,8.916,9.966,1,NA,1,11.353,11.353,12.264,1,NA,1,NA,3.255,3.255,4.066,1,4,12.249,12.249,13.381,1,NA,1,NA,1.758,1.758,2.472,1,1,NA,14.533,14.533,15.725,1,4,NA,3.226,3.226,3.987,1,1,NA,90.785,90.785,91.981,1,1,NA,51.569,51.569,52.747,1,1,NA,18.15,18.15,18.97,1,1,NA,20.747,20.747,21.848,1,4,NA,4.575,4.575,6.032,1,1,NA,18.557,18.557,19.336,1,1,NA,4,4,4.789,1,1,NA,7.684,7.684,8.554,1,3,NA,4.693,4.693,5.577,1,1,NA,4.9,4.9,5.719,1,1,53.698,53.698,54.701,1,NA,1,NA,3.209,3.209,4.225,1,3,NA,4.132,4.132,4.982,1,1,11.238,11.238,12.201,1,NA,1,NA,5.477,5.477,6.514,1,1,NA,35.378,35.378,36.23,1,4,NA,4.569,4.569,5.565,1,1,NA,14.956,14.956,15.933,1,8,3,3,1,3,3,3,1,3,3,4,3,4,2,3,3,1,4,4,4,3,0,3.058,54.821,56.6,6,NA,0,0,52.185,0,1,2,1,2,2,1,1,1,1,1,2,1,2,1,2,2,46.802,194.726,195.618,32,2,NA,60,1,NA,5,100,2,4,NA,60,2,1
"127",127,2020-08-25 06:16:51,100,889,1,1,4,2,2,1,2,2,3,2,4,2,3,3,3,4,2,4,2,2,1,2,4,2,2,1,4,2,1,4,1,10.493,22.923,22.901,8,1,NA,3.282,4.329,5.135,2,1,NA,5.278,6.068,6.755,2,4,NA,3.933,4.92,5.863,2,1,NA,5.651,6.647,7.444,2,1,NA,2.539,3.041,3.738,2,1,NA,4.005,5.961,6.827,2,1,NA,3.264,3.847,4.401,2,1,NA,4.42,5.53,6.253,2,2,NA,4.313,7.565,9.027,4,1,NA,4.025,5.308,8.201,3,1,NA,6.579,7.047,7.737,2,1,2.058,2.678,3.341,2,NA,1,2.983,3.566,4.225,2,NA,2,NA,3.812,5.667,6.48,2,2,3.547,5.111,5.973,2,NA,1,NA,1.828,3.076,5.001,3,3,NA,3.431,3.882,4.584,2,1,NA,4.839,5.455,6.216,2,2,NA,6.88,8.26,10.524,3,1,NA,2.95,3.683,4.345,2,1,NA,2.229,2.815,3.491,2,4,NA,3.932,5.096,6.986,3,4,NA,2.901,4.308,6.972,3,4,NA,2.158,2.885,3.4,2,1,NA,3.674,4.553,5.219,2,2,NA,3.082,3.764,4.5,2,1,NA,2.77,4.02,6.622,3,1,NA,3.345,3.965,4.501,2,2,6.45,11.144,11.848,5,1,4,NA,5.473,6.362,7.068,2,4,NA,8.275,9.304,10.162,2,1,2.707,3.324,4.143,2,NA,4,NA,5.365,5.966,6.601,2,3,NA,4.127,5.646,5.714,3,2,1,4.695,9.979,11.166,5,1,NA,1.801,2.398,3.172,2,10,4,2,5,4,4,4,3,5,5,4,2,1,4,5,4,1,2,4,5,4,0,11.142,72.231,93.846,5,NA,0,0,10.917,0,1,2,2,2,2,1,1,1,1,1,2,1,1,2,1,1,9.018,110.59,111.787,32,3,NA,57,1,NA,1,100,2,4,NA,57,2,2
"128",128,2020-08-25 06:05:46,100,1744,1,1,3,4,4,4,3,4,3,1,1,4,3,4,3,4,4,3,1,3,2,2,3,2,1,3,4,1,4,2,1,18.756,29.72,32.291,2,1,NA,4.285,4.285,5.325,1,4,NA,5.794,5.794,6.6,1,4,NA,4.509,4.509,5.37,1,3,NA,2.787,2.787,3.612,1,1,NA,3.084,3.084,3.95,1,4,NA,3.37,3.37,4.209,1,1,1,5.699,12.369,13.946,2,1,NA,4.842,4.842,5.742,1,1,NA,6.077,6.077,6.97,1,1,1,4.481,23.195,25.05,3,2,1,7.193,19.335,19.783,3,1,2.799,2.799,3.942,1,NA,1,6.144,6.144,7.039,1,NA,1,NA,6.728,6.728,7.607,1,4,7.126,7.126,8.182,1,NA,1,1,11.461,18.301,20.449,2,1,NA,5.931,5.931,7.092,1,1,NA,6.733,6.733,7.453,1,1,1,5.798,10.269,12.453,2,1,NA,5.283,5.283,6.254,1,1,NA,5.572,5.572,6.476,1,1,NA,2.964,2.964,3.898,1,4,NA,3.523,3.523,4.828,1,1,1,7.989,12.543,14.337,2,4,1,4.613,12.667,14.647,3,4,1,5.199,15.937,17.72,2,1,NA,3.487,3.487,4.577,1,2,NA,5.156,5.156,6.199,1,2,5.233,12.405,14.023,2,1,2,NA,2.455,2.455,3.332,1,1,NA,2.732,2.732,3.534,1,1,5.337,5.337,6.015,1,NA,1,NA,4.537,4.537,6.151,1,1,NA,8.401,8.401,9.108,1,2,NA,4.245,4.245,5.409,1,1,NA,2.534,2.534,3.707,1,10,1,1,1,1,1,3,1,3,1,5,1,3,1,1,1,3,1,1,3,3,0,0,0,117.708,0,NA,0,0,4.951,0,1,2,1,1,2,1,1,1,1,1,2,1,2,1,2,2,30.222,159.997,161.209,17,2,NA,55,1,NA,1,99,2,1,NA,55,2,1
"129",129,2020-08-25 06:18:53,100,1113,1,2,2,3,1,2,2,4,2,2,3,3,2,3,3,3,3,2,3,2,3,2,2,3,2,2,3,2,2,3,NA,5.933,7.481,8.574,2,1,NA,4.481,4.481,5.571,1,1,NA,4.796,4.796,5.56,1,4,NA,7.038,7.038,7.911,1,1,NA,12.519,12.519,13.267,1,1,NA,4.758,4.758,5.496,1,1,NA,9.373,9.373,10.09,1,1,NA,7.521,7.521,8.226,1,1,NA,6.685,7.192,9.309,2,4,NA,14.241,14.241,14.991,1,1,NA,6.986,6.986,7.628,1,2,NA,14.935,14.935,15.773,1,1,6.446,11.413,12.436,8,NA,1,6.477,6.477,7.243,1,NA,4,NA,18.415,18.415,18.953,1,1,7.454,8.253,9.394,2,NA,4,NA,8.316,8.316,8.992,1,1,NA,1.403,6.037,6.701,2,1,NA,5.036,5.036,5.934,1,4,NA,15.215,15.215,15.764,1,1,NA,6.378,6.378,7.193,1,1,NA,2.423,6.289,7.169,2,4,NA,2.572,7.365,8.221,3,2,NA,6.858,6.858,7.715,1,1,NA,6.475,6.475,7.306,1,1,NA,7.974,7.974,8.806,1,4,NA,8.365,8.365,9.081,1,1,NA,7.103,7.103,7.741,1,1,NA,10.719,10.719,11.603,1,1,7.847,7.847,8.737,1,NA,1,NA,4.755,4.755,5.545,1,3,NA,11.998,11.998,13.054,1,1,4.902,4.902,5.566,1,NA,3,NA,14.58,14.58,15.271,1,3,NA,6.566,6.566,7.189,1,4,NA,5.444,5.444,6.026,1,1,NA,8.528,8.528,9.367,1,8,1,3,2,2,3,2,2,1,2,4,2,3,1,2,4,5,3,4,3,4,0,90.13,90.864,91.547,2,NA,0,0,11.031,0,2,2,2,2,2,1,2,1,2,1,2,1,1,1,1,1,21.084,166.089,166.71,36,2,NA,79,2,NA,6,84,2,3,NA,80,1,1
